method,level,k=1,k=3,k=5,k=10
student,class,0.8715394912985275,0.93475234270415,0.951566265060241,0.9699598393574297
student,architecture,0.7436144578313253,0.837376171352075,0.8695314591700134,0.9076037483266399
student,topology,0.649611780455154,0.7251137884872825,0.7551539491298528,0.792182061579652
student,superfamily,0.5481124497991968,0.6138688085676037,0.6414993306559572,0.675421686746988
tmvec1,class,0.9305220883534137,0.9689959839357429,0.980669344042838,0.9905488621151272
tmvec1,architecture,0.8943239625167336,0.9352074966532797,0.9521820615796519,0.970896921017403
tmvec1,topology,0.8604551539491299,0.8883534136546185,0.9007228915662651,0.91619812583668
tmvec1,superfamily,0.8171619812583668,0.8371619812583668,0.8434538152610441,0.8507630522088353
tmvec2,class,0.9069611780455153,0.9565194109772424,0.9692101740294511,0.9812583668005355
tmvec2,architecture,0.7978045515394913,0.8818473895582329,0.9106291834002678,0.9408835341365462
tmvec2,topology,0.6992503346720215,0.7684872824631861,0.796144578313253,0.83095046854083
tmvec2,superfamily,0.6153145917001339,0.674859437751004,0.6993306559571619,0.7308433734939759
